,CAND_ID,VOTECOUNT,VOTESHARE,WIN_LOSS
155,H2AL03032,103558.0,66.12,1
156,H2AS00030,201.0,1.96,0
157,H2AS00055,160.0,1.56,0
158,H2AZ04143,45179.0,25.79,0
159,H2AZ05132,70198.0,35.14,0
160,H2AZ07070 ,58192.0,55.72,1
161,H2AZ07146,46185.0,44.23,0
162,H2AZ08094,109547.0,49.94,0
163,H2AZ08102 ,109714.0,50.01,1
164,H2AZ08151,41066.0,24.19,0
165,H2AZ09019 ,88609.0,54.68,1
166,H2AZ09035 ,67841.0,41.86,0
167,H2CA00104,69091.0,55.99,1
168,H2CA00120,87176.0,51.33,1
169,H2CA02142,132052.0,61.03,1
170,H2CA06259,163124.0,74.99,1
171,H2CA06291,36448.0,27.31,0
172,H2CA08164,77480.0,67.65,1
173,H2CA15094,99756.0,69.81,1
174,H2CA16100,44943.0,49.27,0
175,H2CA19112,41900.0,32.79,0
176,H2CA20094,45907.0,57.83,1
177,H2CA23114,95566.0,48.07,0
178,H2CA26109,53225.0,46.66,0
179,H2CA27198,51852.0,40.64,0
180,H2CA28113,50096.0,74.61,1
181,H2CA30143,44697.0,72.54,1
182,H2CA31125,51622.0,51.73,1
183,H2CA33048,30208.0,61.18,1
184,H2CA36439,72682.0,54.18,1
185,H2CA37023,74540.0,65.74,1
186,H2CA38237,40288.0,40.91,0
187,H2CA39078,58192.0,59.09,1
188,H2CA43245,46948.0,56.64,1
189,H2CA50026,56373.0,68.79,1
190,H2CA50166,45302.0,28.8,0
191,H2CA52089,98826.0,51.59,1
192,H2CO01124,5236.0,1.88,0
193,H2CO01140,9292.0,3.34,0
194,H2CO02122,8623.0,3.12,0
195,H2CO03146,11294.0,4.02,0
196,H2CT01189,78609.0,36.08,0
197,H2CT02112,131294.0,57.6,1
198,H2CT05131,106256.0,49.82,1
199,H2DE00148,4419.0,1.91,0
200,H2DE00155,4801.0,2.07,0
201,H2FL00292 ,166254.0,62.54,1
202,H2FL00300 ,82263.0,36.76,0
203,H2FL01100 ,165086.0,70.15,1
204,H2FL03056,112340.0,65.47,1
205,H2FL06109 ,148691.0,64.98,1
206,H2FL08055 ,144474.0,63.6,1
207,H2FL14053,125404.0,58.03,1
208,H2FL20043 ,61519.0,37.33,0
209,H2FL21066,575.0,0.37,0
210,H2FL22072,151478.0,59.78,1
211,H2FL23021,128498.0,81.6,1
212,H2GA02031,96363.0,59.15,1
213,H2GA06107,71486.0,33.96,0
214,H2GA09150,146059.0,80.67,1
215,H2GA12121,91336.0,54.75,1
216,H2GA13012,159445.0,100.0,1
217,H2GU00033,20693.0,57.86,1
218,H2HI02508,142010.0,78.75,1
219,H2HI02524,33630.0,18.65,0
220,H2IA01055,147762.0,51.07,1
221,H2IA05072 ,169834.0,61.62,1
222,H2ID01143,7.0,0.0,0
223,H2ID02018,82801.0,38.64,0
224,H2IL01042,162268.0,73.09,1
225,H2IL01182,59749.0,26.91,0
226,H2IL02156,130.0,0.06,0
227,H2IL04145,22278.0,21.85,0
228,H2IL05183,11305.0,6.14,0
229,H2IL08039 ,79666.0,78.15,1
230,H2IL10068 ,91136.0,48.7,0
231,H2IL12122 ,87860.0,41.89,0
232,H2IL12130,11840.0,5.65,0
233,H2IL13120 ,123337.0,58.66,1
234,H2IL14078,76861.0,34.59,0
235,H2IL17071,110560.0,55.46,1
236,H2IL20042 ,166274.0,74.92,1
237,H2IN03152 ,39771.0,26.73,0
238,H2IN05082 ,105277.0,65.21,1
239,H2IN06239,45509.0,29.35,0
240,H2IN07088,6587.0,3.84,0
241,H2KY04121,150464.0,67.73,1
242,H2LA02107,37805.0,17.06,0
243,H2LA03063,22059.0,9.34,0
244,H2LA04129,55236.0,26.57,0
245,H2MA00014,111989.0,41.14,0
246,H2MA04073,184158.0,97.91,1
247,H2MA09072,200644.0,98.67,1
248,H2MD02160,120412.0,61.32,1
249,H2MD04299,6103.0,2.95,0
250,H2MD05155,144725.0,64.03,1
251,H2MD05510 ,3762.0,1.97,0
252,H2MD06138,87859.0,39.03,0
253,H2MD06195,94704.0,49.7,1
254,H2MD08126,136722.0,60.74,1
255,H2ME02154,31336.0,11.06,0
256,H2MI05101,4480.0,1.96,0
257,H2MI05119 ,148182.0,66.71,1
258,H2MI07073,4531.0,2.03,0
259,H2MI10101,67143.0,29.36,0
260,H2MI11133,1411.0,0.56,0
261,H2MI13170,3537.0,2.12,0
262,H2MI14111,165272.0,77.79,1
263,H2MI17023 ,136342.0,60.39,1
264,H2MN02122 ,95565.0,38.87,0
265,H2MN03062,101846.0,37.78,0
266,H2MN07014,130546.0,54.21,1
267,H2MN08111 ,129090.0,48.51,1
268,H2MO02102,148191.0,64.12,1
269,H2MO02151,7542.0,3.26,0
270,H2MO04116,9793.0,5.56,0
271,H2MO06202 ,55157.0,29.5,0
272,H2MO06228,7197.0,3.85,0
273,H2MO07093 ,47282.0,28.84,0
274,H2MS01114,3830.0,2.53,0
275,H2MS04209,3684.0,2.37,0
276,H2MS04225,37869.0,24.34,0
277,H2NC01081,139415.0,67.81,1
278,H2NC07096,134431.0,59.35,1
279,H2NC08185,121568.0,64.86,1
280,H2NC08219,65854.0,35.14,0
281,H2NC09134,163080.0,93.9,1
282,H2NC11080,144682.0,62.9,1
283,H2NC13110,153991.0,57.31,1
284,H2NE03023,45524.0,24.61,0
285,H2NJ02037,108875.0,61.46,1
286,H2NJ05014,109455.0,62.57,1
287,H2NJ08224,1022.0,1.29,0
288,H2NJ10154 ,95734.0,85.38,1
289,H2NM02126,95209.0,64.43,1
290,H2NM03157,70775.0,38.45,0
291,H2NV02205,11792.0,6.33,0
292,H2NV02395 ,122402.0,65.73,1
293,H2NV04011 ,59844.0,45.76,0
294,H2NY00010,47142.0,73.88,1
295,H2NY01067,68387.0,39.56,0
296,H2NY03089,76659.0,55.02,1
297,H2NY06116,49227.0,87.96,1
298,H2NY08120,6673.0,7.94,0
299,H2NY09110,9727.0,10.51,0
300,H2NY10092,70469.0,83.89,1
301,H2NY13062,2687.0,2.5,0
302,H2NY14037,78440.0,69.15,1
303,H2NY17071,73945.0,72.58,1
304,H2NY22139,76235.0,42.57,1
305,H2OH02085,132658.0,65.96,1
306,H2OH02093,72604.0,36.78,0
307,H2OH03067,130752.0,65.18,1
308,H2OH03125 ,91769.0,64.06,1
309,H2OH05039 ,9344.0,4.62,0
310,H2OH07142,17.0,0.01,0
311,H2OH09031,108870.0,67.74,1
312,H2OH14064 ,135736.0,63.26,1
313,H2OH15095 ,66125.0,33.98,0
314,H2OH17109,120230.0,68.49,1
315,H2OK02083,110925.0,70.03,1
316,H2OK02166,38964.0,24.6,0
317,H2OK04055,117721.0,70.8,1
